date,price,market_cap,total_volume
2017-08-22,35.46643856995313,1773321928.4976566,28656058.985748187
2017-08-23,39.7163094242627,1985815471.2131348,67914011.96685062
2017-08-24,40.83957330867186,2041978665.4335928,29600934.164231427
2017-08-25,38.78480629873538,1939240314.9367692,22372522.16093535
2017-08-26,36.297198207215736,1814859910.3607867,21801275.210925594
2017-08-27,38.1678640630043,1908393203.150215,28205684.638130467
2017-08-28,37.13471259003956,1856735629.5019784,23434050.38614101
2017-08-29,32.08760958375768,1604380479.1878839,107180197.97356214
2017-08-30,33.24798042334319,1662399021.1671598,57096372.75561397
2017-08-31,33.103962448584234,1655198122.4292116,29265330.94631599
2017-09-01,31.862805168691374,1593140258.4345686,46252004.600838475
2017-09-02,30.763899602189735,1538194980.1094868,49637713.395337366
2017-09-03,30.957924736066015,1547896236.8033006,21438821.74548991
2017-09-04,23.023138342007186,1151156917.1003594,143111765.9870427
2017-09-05,23.67494630066318,1183747315.033159,53125834.747208156
2017-09-06,21.515455763107898,1075772788.1553948,46065917.65017842
2017-09-07,30.84261603118079,1542130801.5590394,147713351.44067994
2017-09-08,25.7538122893771,1287690614.4688551,62762561.548150145
2017-09-09,22.05038174694008,1102519087.347004,27750776.189361688
2017-09-10,23.210248634454526,1160512431.7227263,33049089.071166214
2017-09-11,21.67253615470975,1083626807.7354875,18176785.11103976
2017-09-12,20.868057210526228,1043402860.5263114,28090644.05796446
2017-09-13,20.143343013125527,1007167150.6562763,25658873.14570809
2017-09-14,15.095051413633024,754752570.6816512,23875599.00897546
2017-09-15,18.174860011247958,908743000.5623978,28489487.251639552
2017-09-16,20.133570931300532,1006678546.5650266,31022951.24243208
2017-09-17,19.267227712259395,963361385.6129698,9456299.555655416
2017-09-18,20.90182017153094,1045091008.576547,17038805.882855684
2017-09-19,20.162788094517136,1008139404.7258568,19418617.232576832
2017-09-20,19.617195740243524,980859787.0121763,8346769.60830891
2017-09-21,17.450426322020615,872521316.1010307,12094368.002689503
2017-09-22,18.79915384970857,939957692.4854286,13468632.312074533
2017-09-23,20.030833560777044,1001541678.0388522,9469555.448665498
2017-09-24,19.72639914844674,986319957.4223369,5915224.135625485
2017-09-25,25.436212725503424,1271810636.2751713,60294719.7182495
2017-09-26,26.20462496072365,1310231248.0361824,43780406.09877208
2017-09-27,31.41413814009156,1570706907.004578,121385146.26767315
2017-09-28,29.385282139307446,1469264106.9653723,66952803.54623813
2017-09-29,28.371200696519075,1418560034.8259537,43707513.929153286
2017-09-30,33.97626387014888,1698813193.507444,56417744.71291749
2017-10-01,35.47282851990529,1773641425.9952648,45964793.291424
2017-10-02,36.56901267548608,1828450633.774304,81015884.39341648
2017-10-03,33.56436010183745,1678218005.0918725,44485369.67735475
2017-10-04,31.219462714853776,1560973135.742689,36193703.23421317
2017-10-05,32.16203634159413,1608101817.0797064,41707237.21297891
2017-10-06,33.30845756444859,1665422878.2224293,25680963.558685854
2017-10-07,35.818112168537304,1790905608.426865,26765832.140655108
2017-10-08,31.952335552674423,1597616777.633721,69791683.36659333
2017-10-09,29.040765537231593,1452038276.8615797,66402545.36615107
2017-10-10,29.355057310602522,1467752865.530126,29278421.265082087
2017-10-11,30.049135575053988,1502456778.7526994,22063278.148966
2017-10-12,27.777901515373955,1388895075.7686977,38894378.752180144
2017-10-13,29.54207805809381,1477103902.9046905,58105491.35287326
2017-10-14,27.113955108740548,1355697755.4370275,18199699.15399006
2017-10-15,27.76162529753953,1388081264.8769765,18373298.295615755
2017-10-16,28.244246561688712,1412212328.0844357,20510471.629737444
2017-10-17,31.54808017618099,1577404008.8090494,51652970.669529475
2017-10-18,29.805982389057668,1490299119.4528832,31358492.15101753
2017-10-19,28.617955067881766,1430897753.3940883,18229182.636223648
2017-10-20,27.504189340753637,1375209467.0376818,21497671.97355464
2017-10-21,27.173318490543124,1358665924.5271564,21332463.041534718
2017-10-22,28.88431762407824,1444215881.203912,23605333.909530997
2017-10-23,27.715766094016885,1385788304.7008443,16326415.818856543
2017-10-24,30.2001545643033,1510007728.2151651,52466292.1327726
2017-10-25,28.388078423895443,1419403921.1947722,18851985.77769235
2017-10-26,28.097840542044363,1404892027.1022182,18015656.45612242
2017-10-27,29.13555473449751,1456777736.7248755,11803653.635448936
2017-10-28,27.3308826928873,1366544134.644365,9412082.82710316
2017-10-29,27.67982086184782,1799188356.0201082,12658687.408044921
2017-10-30,28.57034603383269,1857072492.1991248,25794216.46159453
2017-10-31,28.307422134710652,1839982438.7561922,49968281.540268205
2017-11-01,26.900747857605555,1748548610.7443612,40728874.7798957
2017-11-02,24.570183202524074,1597061908.1640646,64190781.063559406
2017-11-03,26.886480425220945,1747621227.6393616,36237055.63782177
2017-11-04,26.37693001127875,1714500450.7331185,27709189.48884527
2017-11-05,26.620141734090595,1730309212.7158885,23146448.80931086
2017-11-06,26.75562069153068,1739115344.9494941,24761268.507872768
2017-11-07,26.302607556372806,1709669491.1642323,37651776.99442386
2017-11-08,30.657540638248076,1992740141.486125,102671176.47611581
2017-11-09,32.01970086745382,2081280556.3844981,72632759.14633377
2017-11-10,28.393109733920923,1845552132.70486,48317882.823691405
2017-11-11,28.477821245802666,1851058380.9771733,30029568.59739881
2017-11-12,26.801199204297795,1742077948.2793567,52279328.408140264
2017-11-13,28.070570928690866,1824587110.3649063,26349409.161296118
2017-11-14,29.7120915633306,1931285951.61649,21014966.6314039
2017-11-15,29.62725099851,1925771314.90315,39909255.0653755
2017-11-16,28.6220000568545,1860430003.69554,34946547.2061459
2017-11-17,40.6479928565066,2642119535.67293,229939222.358468
2017-11-18,42.5542186876736,2766024214.69878,396098200.048775
2017-11-19,39.4711775975445,2565626543.8404,238663592.111792
2017-11-20,36.5990486412882,2378938161.68373,203912791.353193
2017-11-21,34.7601799896885,2259411699.32975,117907354.306574
2017-11-22,35.8687054647618,2331465855.20952,71638438.304196
2017-11-23,35.6097103400659,2314631172.10428,59062037.4889973
2017-11-24,35.1388087982536,2284022571.88648,58214316.2053766
2017-11-25,38.4505175193346,2499283638.75675,106932980.051062
2017-11-26,38.5691940581135,2506997613.77738,54409541.2009973
2017-11-27,40.4315728800907,2628052237.20589,69304690.5531792
2017-11-28,38.9073851089198,2528980032.07978,70410067.2962918
2017-11-29,32.5061197521549,2112897783.89007,112810706.911701
2017-11-30,33.6036638301346,2184238148.95875,66001048.1102393
2017-12-01,36.1729843270341,2351243981.25722,72049095.6887488
2017-12-02,35.7152065998724,2321488428.99171,38718981.4621304
2017-12-03,37.0412497150863,2407681231.48061,62703335.3258899
